City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
78,Port Elizabeth,ZA,-33.918,25.5701,61.11,67,0,12.66,clear sky
79,Uvat,RU,59.1433,68.8953,27.48,69,4,2.53,clear sky
80,New Norfolk,AU,-42.7826,147.0587,41.92,71,72,1.01,broken clouds
81,Pemberton,CA,50.3164,-122.8027,44.29,84,90,3.83,overcast clouds
82,Korla,CN,41.7597,86.1469,49.12,38,15,5.32,few clouds
83,Huari,PE,-9.3333,-77.2333,59.43,40,49,9.73,scattered clouds
84,Sao Domingos,BR,-13.3983,-46.3183,97.48,18,44,5.79,scattered clouds
85,Songling,CN,31.1933,120.7176,76.06,88,100,16.2,light rain
86,Quatre Cocos,MU,-20.2078,57.7625,73.51,89,85,10.36,light rain
87,Semey,KZ,50.4111,80.2275,49.32,56,100,6.06,moderate rain
88,Leningradskiy,RU,69.3833,178.4167,18.32,90,100,5.08,overcast clouds
89,Tynda,RU,55.1667,124.7167,26.69,90,53,3.11,broken clouds
90,Gannan,CN,47.9147,123.5031,42.12,60,0,9.06,clear sky
91,East London,ZA,-33.0153,27.9116,61.74,63,0,11.5,clear sky
92,Bethel,US,41.3712,-73.414,63.93,88,100,1.99,overcast clouds
93,Whitianga,NZ,-36.8333,175.7,51.03,85,15,6.49,few clouds
94,Tiznit,MA,29.5833,-9.5,75.99,40,100,3.04,overcast clouds
95,Cabedelo,BR,-6.9811,-34.8339,86.67,65,92,12.39,overcast clouds
96,Hualmay,PE,-11.0964,-77.6139,69.21,73,56,9.24,broken clouds
97,Eyl,SO,7.9803,49.8164,79.07,85,43,15.57,scattered clouds
98,Pangnirtung,CA,66.1451,-65.7125,30.2,100,40,3.44,fog
99,Kalya,IN,12.9793,77.1806,71.6,92,98,4.29,overcast clouds
100,Takoradi,GH,4.8845,-1.7554,77.0,89,100,8.99,moderate rain
101,Laguna,US,38.421,-121.4238,72.05,51,1,1.01,clear sky
102,Jian,CN,27.1172,114.9793,68.94,76,86,15.86,light rain
103,Nikolskoye,RU,59.7035,30.7861,54.88,66,38,8.88,scattered clouds
104,Boa Vista,BR,2.8197,-60.6733,89.58,51,75,8.05,broken clouds
105,Palora,EC,-1.7,-77.9333,76.98,61,91,2.39,light rain
106,Shubarshi,KZ,48.5872,57.1869,46.65,62,11,7.9,few clouds
107,Hithadhoo,MV,-0.6,73.0833,83.32,69,87,12.91,overcast clouds
108,Tura,IN,25.5198,90.2201,74.71,87,8,3.2,clear sky
109,Cape Town,ZA,-33.9258,18.4232,66.61,62,0,1.01,clear sky
110,Halifax,CA,44.6453,-63.5724,63.34,51,87,5.75,overcast clouds
111,Noumea,NC,-22.2763,166.4572,62.58,71,24,9.48,few clouds
112,Kedrovyy,RU,56.1667,91.8167,41.41,98,100,5.7,light rain
113,Myanaung,MM,18.2833,95.3167,78.35,88,97,1.5,overcast clouds
114,Berea,US,41.3662,-81.8543,75.33,79,98,1.01,overcast clouds
115,Port Alfred,ZA,-33.5906,26.891,61.54,64,12,20.69,few clouds
116,Inta,RU,66.0317,60.1659,29.1,77,65,8.05,broken clouds
117,Kondopoga,RU,62.2057,34.2614,51.48,88,100,11.25,overcast clouds
118,Cam Ranh,VN,11.9214,109.1591,76.96,94,75,4.61,broken clouds
119,Puerto Ayora,EC,-0.7393,-90.3518,75.16,84,89,5.99,overcast clouds
120,Klaksvik,FO,62.2266,-6.589,43.72,79,86,23.35,overcast clouds
121,Kapaa,US,22.0752,-159.319,77.47,72,28,5.01,light rain
122,Faanui,PF,-16.4833,-151.75,79.57,72,53,13.15,broken clouds
123,Svetlaya,RU,46.5389,138.3297,49.03,59,82,10.76,broken clouds
124,Beringovskiy,RU,63.05,179.3167,30.43,82,100,11.92,overcast clouds
125,Xining,CN,36.6167,101.7667,40.23,76,71,1.95,broken clouds
126,Evensk,RU,61.95,159.2333,26.29,67,60,6.17,broken clouds
127,Jaque,PA,7.5175,-78.1703,80.69,84,94,8.34,moderate rain
128,Saint-Augustin,CA,51.226,-58.6502,57.24,42,84,6.58,broken clouds
129,Karratha,AU,-20.7377,116.8463,74.62,41,5,7.74,clear sky
130,Bredasdorp,ZA,-34.5322,20.0403,63.28,77,70,14.97,broken clouds
131,Umea,SE,63.8284,20.2597,49.93,100,90,9.22,overcast clouds
132,Sao Filipe,CV,14.8961,-24.4956,80.85,72,0,4.43,clear sky
133,Labuhan,ID,-6.8844,112.2051,78.42,76,76,10.56,broken clouds
134,Qaanaaq,GL,77.484,-69.3632,29.61,92,100,10.45,overcast clouds
135,Castro,BR,-24.7911,-50.0119,57.81,94,100,9.46,overcast clouds
136,Rawson,AR,-43.3002,-65.1023,72.95,30,0,12.62,clear sky
137,Bilma,NE,18.6853,12.9164,89.06,9,81,8.25,broken clouds
138,Quesnel,CA,52.9999,-122.5029,39.7,100,40,2.3,mist
139,Beyneu,KZ,45.3167,55.2,54.18,36,55,6.96,broken clouds
140,Saint George,US,37.1041,-113.5841,67.62,38,0,3.0,clear sky
141,Hermanus,ZA,-34.4187,19.2345,63.81,66,89,7.76,overcast clouds
142,Tuktoyaktuk,CA,69.4541,-133.0374,30.2,93,90,9.22,overcast clouds
143,Mikuni,JP,36.2171,136.1519,75.11,82,0,10.63,clear sky
144,Liverpool,GB,53.4106,-2.9779,57.15,76,40,3.0,scattered clouds
145,Tuburan,PH,6.6439,122.2736,81.25,79,98,11.41,overcast clouds
146,Chiplun,IN,17.5333,73.5167,76.41,98,100,2.01,moderate rain
147,Berdigestyakh,RU,62.0989,126.6992,35.02,87,100,11.05,overcast clouds
148,Astoria,US,46.1879,-123.8313,57.56,77,86,1.99,overcast clouds
149,Zorgo,BF,12.2489,-0.6158,90.41,42,100,3.74,overcast clouds
150,Port Hedland,AU,-20.3167,118.5667,69.85,73,8,0.0,clear sky
151,Sorong,ID,-0.8833,131.25,80.19,83,89,4.47,overcast clouds
152,Tselinnoye,RU,53.0833,85.6667,41.86,67,100,7.58,overcast clouds
153,San Pedro,PH,14.35,121.0167,81.63,82,20,1.14,few clouds
154,Galle,LK,6.0367,80.217,78.98,88,81,11.7,broken clouds
155,Grand Gaube,MU,-20.0064,57.6608,73.8,87,61,7.0,moderate rain
156,Kirkwall,GB,58.9848,-2.9587,51.96,93,75,20.71,broken clouds
157,Tra Vinh,VN,9.9347,106.3453,77.32,93,100,6.44,overcast clouds
158,Eskil,TR,38.4017,33.4131,66.11,31,0,3.78,clear sky
159,Tombouctou,ML,20.0,-3.0,93.38,7,65,7.87,broken clouds
160,Torbay,CA,47.6666,-52.7314,48.27,74,90,25.32,overcast clouds
