City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
0,Port Lincoln,AU,2021-10-08 20:27:08,-34.7333,135.8667,12.39,92,100,3.64
1,Guangyuan,CN,2021-10-08 20:27:09,32.442,105.823,15.2,96,100,1.94
2,Ambilobe,MG,2021-10-08 20:27:09,-13.2,49.05,24.3,61,77,2.63
3,Batagay,RU,2021-10-08 20:27:09,67.6333,134.6333,-6.64,82,25,0.52
4,Vestmanna,FO,2021-10-08 20:27:10,62.1564,-7.1664,9.51,100,90,6.17
5,Pevek,RU,2021-10-08 20:27:10,69.7008,170.3133,-5.52,84,98,1.5
6,Busselton,AU,2021-10-08 20:27:11,-33.65,115.3333,9.47,81,72,4.04
7,Tuktoyaktuk,CA,2021-10-08 20:27:11,69.4541,-133.0374,-1.0,100,90,2.57
8,El Alto,PE,2021-10-08 20:27:12,-4.2714,-81.2147,21.81,75,85,8.54
9,Kamaishi,JP,2021-10-08 20:27:12,39.2667,141.8833,17.11,90,100,3.35
10,Ushuaia,AR,2021-10-08 20:24:31,-54.8,-68.3,8.79,70,75,13.38
11,Punta Arenas,CL,2021-10-08 20:27:13,-53.15,-70.9167,8.06,49,20,15.95
12,Kerema,PG,2021-10-08 20:27:13,-7.9631,145.7785,25.27,89,89,3.0
13,Kodiak,US,2021-10-08 20:27:13,57.79,-152.4072,7.69,76,18,5.27
14,Whitehorse,CA,2021-10-08 20:27:14,60.7161,-135.0538,1.43,93,90,5.81
15,Provideniya,RU,2021-10-08 20:27:14,64.3833,-173.3,1.57,93,100,5.77
16,Zarubino,RU,2021-10-08 20:27:15,42.63,131.0922,12.63,73,94,0.6
17,Prince Rupert,CA,2021-10-08 20:27:15,54.3161,-130.3201,9.05,93,90,4.63
18,Mezen,RU,2021-10-08 20:27:16,65.8522,44.24,2.85,80,100,3.74
19,Rikitea,PF,2021-10-08 20:27:16,-23.1203,-134.9692,23.42,75,10,4.35
20,Cape Town,ZA,2021-10-08 20:23:05,-33.9258,18.4232,15.62,93,75,3.09
21,Esperance,AU,2021-10-08 20:27:17,-33.8667,121.9,8.91,76,13,6.59
